item,value
objective,"L_roll = ||z_T - p||^2, backpropagated through all T steps"
rollout,cvlabfm.flow.euler_rollout - the same function used at inference
T at training,"equal to T at inference, as the brief requires"
architecture,"identical to step 2: MLP 2 x 512, SiLU"
optimiser,"identical to step 2: AdamW, lr 0.001, wd 0.0001, batch 64"
gradient clipping,"norm 1.0 - added for this objective's stability, applied to step 2 as well to keep them identical"
epochs,"100 - identical to step 2, deliberately not re-tuned"
normalization,"L2-normalized inputs, as in step 2 (ablated there)"
subsets / seeds,identical to step 2 and to Stage 1
models trained,54 = 3 combos x 3 K x 3 seeds x 2 T
evaluation,each model evaluated only at the T it was trained with
